sample	n_processed	n_pseudoaligned	n_unique	p_pseudoaligned	p_unique	n_bootstraps	n_targets	kallisto_version
NS.1574.002.NEBNext_dual_i7_191---NEBNext_dual_i5_191.12cFLR	23553440	17986417	17102584	76.4	72.6	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_192---NEBNext_dual_i5_192.13bFLR	20903566	15899421	15143266	76.1	72.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_286---NEBNext_dual_i5_238.44fFLR	24371277	18338531	17404611	75.2	71.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_287---NEBNext_dual_i5_239.45aFLR	15439345	11246767	10614910	72.8	68.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_288---NEBNext_dual_i5_240.52cFLR	20680749	15456609	14756941	74.7	71.4	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_97---NEBNext_dual_i5_97.20aMLR	20648435	14872784	14211454	72.0	68.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_98---NEBNext_dual_i5_98.22dMLR	25806398	19577246	18713990	75.9	72.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_99---NEBNext_dual_i5_99.23aMLR	23231005	17005523	16182471	73.2	69.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_A11---NEBNext_dual_i5_A11.5aMLR	24647049	19050220	18126786	77.3	73.5	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_A12---NEBNext_dual_i5_A12.14eMLR	25242708	19529899	18669752	77.4	74.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_B11---NEBNext_dual_i5_B11.6dMLR	27358838	20707681	19662276	75.7	71.9	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_B12---NEBNext_dual_i5_B12.15dMLR	28967120	22538310	21513410	77.8	74.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_C11---NEBNext_dual_i5_C11.7bMLR	26243453	20183967	19147863	76.9	73.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_C12---NEBNext_dual_i5_C12.16bMLR	26035066	20439500	19446188	78.5	74.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_D11---NEBNext_dual_i5_D11.9bMLR	23903205	18692850	17836925	78.2	74.6	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_D12---NEBNext_dual_i5_D12.17bMLR	25097622	19150984	18316762	76.3	73.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_E10---NEBNext_dual_i5_E10.1fMLR	25687702	20028978	19040237	78.0	74.1	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_E11---NEBNext_dual_i5_E11.10aMLR	30132989	23792613	22609574	79.0	75.0	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_E12---NEBNext_dual_i5_E12.18cMLR	20719137	16241033	15517710	78.4	74.9	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_F10---NEBNext_dual_i5_F10.2bMLR	21029703	16305640	15550592	77.5	73.9	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_F11---NEBNext_dual_i5_F11.11aMLR	23950560	18815481	17924063	78.6	74.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_F12---NEBNext_dual_i5_F12.19aMLR	24308115	19112478	18191477	78.6	74.8	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_G10---NEBNext_dual_i5_G10.3dMLR	25372184	19692732	18709814	77.6	73.7	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_G11---NEBNext_dual_i5_G11.12fMLR	27995721	21478357	20513485	76.7	73.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_H10---NEBNext_dual_i5_H10.4aMLR	28281221	22033321	21006332	77.9	74.3	100	37659	0.48.0
NS.1574.002.NEBNext_dual_i7_H11---NEBNext_dual_i5_H11.13aMLR	34475828	26978739	25655249	78.3	74.4	100	37659	0.48.0
NS.1583.002.NEBNext_dual_i7_119---NEBNext_dual_i5_119.43bMLR	51113749	39248097	37405033	76.8	73.2	100	37659	0.48.0
