OG,branch,dN,dS
OG0011366.fa.json,Node2,0.0152058677509134,0.1126290896921192
OG0011366.fa.json,Rsag_NChap2_final_00004370_RA_1,0.0345191540216003,0.2556816196274855
OG0011366.fa.json,TX_maternal_00006589_RA_1,0.0003152433028869,0.0023349911243018
OG0011366.fa.json,TX_paternal_00004440_RA_1,9.256607007788588e-06,6.856321770010709e-05
OG0011366.fa.json,buc_00009766_RA_1,0.0174886599862971,0.1295376157716032
OG0015430.fa.json,Node2,0.0133325059767491,0.1564756701305511
OG0015430.fa.json,Rsag_NChap2_final_00015325_RA_1,0.0319751317653033,0.3752730491337437
OG0015430.fa.json,TX_maternal_00015968_RA_1,0.00040624248644,0.0047678257494929
OG0015430.fa.json,TX_paternal_00009725_RA_1,0.000261423444578,0.0030681710362269
OG0015430.fa.json,buc_00016323_RA_1,0.0149244865545253,0.1751597965938554
OG0009414.fa.json,Node2,0.0150687527457837,0.0711090217344045
OG0009414.fa.json,Rsag_NChap2_final_00028913_RA_1,0.0639320892638399,0.3016937368131094
OG0009414.fa.json,TX_maternal_00030478_RA_1,0.0009614626198531,0.0045371151471767
OG0009414.fa.json,TX_paternal_00033543_RA_1,0.0013640825892318,0.006437067494677
OG0009414.fa.json,buc_00036603_RA_1,0.0413899361988421,0.1953179484992611
OG0009233.fa.json,Node2,0.0098924735678045,0.124443900263359
OG0009233.fa.json,Rsag_NChap2_final_00028385_RA_1,0.0187712436528334,0.2361357608833964
OG0009233.fa.json,TX_maternal_00029856_RA_1,0.0005499621917797,0.0069183343956761
OG0009233.fa.json,TX_paternal_00032901_RA_1,0.0001758252727461,0.0022118211947119
OG0009233.fa.json,buc_00037931_RA_1,0.0146137927743809,0.1838364649669779
OG0010642.fa.json,Node2,0.023315743900919,0.0557910176575724
OG0010642.fa.json,Rsag_NChap2_final_00001581_RA_1,0.0525513498173802,0.1257473618705842
OG0010642.fa.json,TX_maternal_00003716_RA_1,0.0045178313278956,0.010810481040608
OG0010642.fa.json,TX_paternal_00007513_RA_1,1.259604735711088e-10,4.85200985359871e-10
OG0010642.fa.json,buc_00007046_RA_1,0.0574300992812924,0.1374214649420828
OG0010065.fa.json,Rsag_NChap2_final_00008159_RA_1,0.0136951917776276,0.3749055389035466
OG0010065.fa.json,buc_00024342_RA_1,0.0049296297092427,0.1349484923429621
OG0010597.fa.json,Node2,0.0234430568530336,0.0991237512632967
OG0010597.fa.json,Rsag_NChap2_final_00001446_RA_1,0.063807526412001,0.2697959321789974
OG0010597.fa.json,TX_maternal_00003586_RA_1,0.0011867185215394,0.005017775296373
OG0010597.fa.json,TX_paternal_00007666_RA_1,0.0010221970113724,0.0043221326865593
OG0010597.fa.json,buc_00029962_RA_1,0.0458674552306199,0.1939403317520874
OG0012137.fa.json,Node2,0.0118980932525814,0.0837414072642527
OG0012137.fa.json,Rsag_NChap2_final_00017133_RA_1,0.0395723877126866,0.2785192018181589
OG0012137.fa.json,TX_maternal_00022502_RA_1,0.0001529576598931,0.001076549781497
OG0012137.fa.json,TX_paternal_00026347_RA_1,0.0007194221466978,0.0050634519080172
OG0012137.fa.json,buc_00026871_RA_1,0.0164811677283647,0.1159980973112657
OG0012710.fa.json,Node2,0.0538230858152812,0.2824996928172673
OG0012710.fa.json,Rsag_NChap2_final_00017576_RA_1,0.0496606323447894,0.2606523422061237
OG0012710.fa.json,TX_maternal_00024297_RA_1,0.0001605182265667,0.000842507429847
